month,net_sales,orders,average_order_value,sessions,conversion_sessions,conversion_rate,sales_source,traffic_source,period_status,period_through,synced_at
2024-01,66976.91,246,304.202,29542,240,0.00812402680928847,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2024-02,65648.91,274,248.854,27292,270,0.00989300894034882,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2024-03,136662.55,486,288.294,45251,473,0.010452807672758612,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2024-04,159893.34,523,316.035,49839,513,0.010293143923433456,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2024-05,153112.96,497,328.574,44079,488,0.011071031556977246,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2024-06,124671.7,437,314.421,46555,422,0.009064547309633766,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2024-07,99418.96,405,254.763,38867,385,0.009905575423881442,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2024-08,59168.19,240,269.167,29120,231,0.007932692307692307,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2024-09,48416.55,191,264.236,23837,184,0.007719092167638545,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2024-10,67861.79,238,290.726,32297,228,0.007059479208595226,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2024-11,67182.4,239,289.795,26196,232,0.008856313941059703,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2024-12,53124.07,181,303.243,27357,176,0.006433453960595094,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2025-01,32002.8,110,291.768,20242,107,0.005286038928959589,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2025-02,32054.73,118,303.01,17603,115,0.006532977333409078,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2025-03,101351.71,302,347.452,34528,296,0.008572752548656163,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2025-04,132444.55,388,344.238,43308,380,0.008774360395308026,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2025-05,163357.21,471,349.647,52428,466,0.008888380254825665,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2025-06,193299.11,515,382.734,57022,512,0.00897899056504507,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2025-07,154048.51,440,362.634,61990,432,0.006968865946120342,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2025-08,93810.59,263,359.915,50791,262,0.005158394203697505,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2025-09,67840.77,208,330.947,33950,203,0.005979381443298969,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2025-10,58380.02,171,349.053,32399,163,0.00503101947590975,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2025-11,57819.58,150,402.711,21241,141,0.0066381055505861306,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2025-12,48373.52,138,358.702,18526,131,0.007071143258123718,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2026-01,26828.27,79,355.868,14660,72,0.0049113233287858115,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2026-02,42382.53,85,505.116,9942,79,0.007946087306376987,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2026-03,130886.16,244,536.516,25367,224,0.008830370165963653,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2026-04,153761.25,377,419.016,37754,361,0.009561900725750914,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2026-05,213835.84,458,472.252,50968,436,0.0085543870663946,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2026-06,146682.2,365,409.971,48912,346,0.007073928688256461,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:10:17+08:00
2026-07,114126.18,271,458.79,47603,253,0.005314791084595509,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:12:17+08:00
2026-08,96847.63,206,487.515,44642,196,0.004390484297298508,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T23:12:17+08:00
2026-09,24872.26,46,580.091,9206,40,0.004344992396263307,shopifyql_sales,shopifyql_human_sessions,partial,2026-09-09,2026-09-09T23:12:17+08:00
