month,net_sales,orders,average_order_value,sessions,conversion_sessions,conversion_rate,sales_source,traffic_source,period_status,period_through,synced_at
2024-01,147257.29,444,331.66,,,,shopifyql_sales,unavailable,complete,2026-09-09,2026-09-09T22:48:52+08:00
2024-02,96446.06,260,370.946,,,,shopifyql_sales,unavailable,complete,2026-09-09,2026-09-09T22:48:52+08:00
2024-03,160309.0,323,496.312,,,,shopifyql_sales,unavailable,complete,2026-09-09,2026-09-09T22:48:52+08:00
2024-04,101978.0,244,417.942,,,,shopifyql_sales,unavailable,complete,2026-09-09,2026-09-09T22:48:52+08:00
2024-05,158453.0,344,460.619,935,12,0.012834224598930482,shopifyql_sales,ga4_purchase_sessions,complete,2026-09-09,2026-09-09T22:48:52+08:00
2024-06,67169.0,163,412.079,39312,218,0.005545380545380545,shopifyql_sales,ga4_purchase_sessions,complete,2026-09-09,2026-09-09T22:48:52+08:00
2024-07,110618.0,264,419.007,46675,291,0.006234600964113551,shopifyql_sales,ga4_purchase_sessions,complete,2026-09-09,2026-09-09T22:48:52+08:00
2024-08,77074.0,161,478.72,30736,134,0.004359708485163977,shopifyql_sales,ga4_purchase_sessions,complete,2026-09-09,2026-09-09T22:48:52+08:00
2024-09,80868.0,219,369.26,26270,237,0.00902169775409212,shopifyql_sales,ga4_purchase_sessions,complete,2026-09-09,2026-09-09T22:48:52+08:00
2024-10,64681.0,145,446.075,19828,159,0.008018963082509583,shopifyql_sales,ga4_purchase_sessions,complete,2026-09-09,2026-09-09T22:48:52+08:00
2024-11,94279.0,167,564.544,26547,172,0.006479074848382115,shopifyql_sales,ga4_purchase_sessions,complete,2026-09-09,2026-09-09T22:48:52+08:00
2024-12,78552.0,168,467.571,25774,169,0.0065569954217428415,shopifyql_sales,ga4_purchase_sessions,complete,2026-09-09,2026-09-09T22:48:52+08:00
2025-01,63012.0,138,456.608,23127,145,0.00626972802352229,shopifyql_sales,ga4_purchase_sessions,complete,2026-09-09,2026-09-09T22:48:52+08:00
2025-02,32179.0,66,487.56,15676,73,0.004656800204133707,shopifyql_sales,ga4_purchase_sessions,complete,2026-09-09,2026-09-09T22:48:52+08:00
2025-03,42405.0,81,523.518,18071,101,0.005589065353328537,shopifyql_sales,ga4_purchase_sessions,complete,2026-09-09,2026-09-09T22:48:52+08:00
2025-04,27878.0,75,371.706,23218,86,0.0037040227409768285,shopifyql_sales,ga4_purchase_sessions,complete,2026-09-09,2026-09-09T22:48:52+08:00
2025-05,29031.22,68,436.708,6958,15,0.0021557918942224775,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T22:48:52+08:00
2025-06,32184.35,85,401.62,29474,73,0.0024767591775802403,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T22:48:52+08:00
2025-07,48723.32,145,340.379,38164,122,0.003196729902525941,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T22:48:52+08:00
2025-08,41433.82,174,254.63,35919,133,0.003702775689746374,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T22:48:52+08:00
2025-09,24651.46,168,149.12,47012,93,0.0019782183272355996,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T22:48:52+08:00
2025-10,40781.97,150,290.806,63310,98,0.0015479387142631495,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T22:48:52+08:00
2025-11,83270.93,325,256.833,91097,183,0.0020088477117797513,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T22:48:52+08:00
2025-12,74872.16,351,216.721,87893,187,0.002127586952317022,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T22:48:52+08:00
2026-01,79900.84,444,183.998,88786,260,0.002928389610974703,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T22:48:52+08:00
2026-02,93786.04,401,242.901,80937,293,0.0036200995836267714,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T22:48:52+08:00
2026-03,151093.32,561,303.759,72045,389,0.0053994031508085225,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T22:48:52+08:00
2026-04,150100.76,590,258.84,76548,423,0.005525944505408371,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T22:48:52+08:00
2026-05,168431.67,532,323.071,86048,408,0.004741539605801413,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T22:48:52+08:00
2026-06,188417.53,541,363.003,90057,401,0.004452735489745383,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T22:48:52+08:00
2026-07,149288.6,473,325.681,77159,358,0.00463976982594383,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T22:48:52+08:00
2026-08,140322.94,402,355.35,86608,326,0.0037640864585257714,shopifyql_sales,shopifyql_human_sessions,complete,2026-09-09,2026-09-09T22:48:52+08:00
2026-09,47015.28,102,478.213,17268,96,0.005559416261292564,shopifyql_sales,shopifyql_human_sessions,partial,2026-09-09,2026-09-09T22:48:52+08:00
